machine,limits,benchmark,base_result,lower_is_better,result,normalized
issdm-6,with,ramsmp_fl-point_reading_256kb_block,1353.79,False,650.72,-2.0804493484140645
issdm-6,with,ramsmp_fl-point_reading_512kb_block,966.63,False,645.95,-1.4964470934282839
issdm-6,with,ramsmp_fl-point_reading_1024kb_block,710.34,False,304.58,-2.3321951539825334
issdm-6,with,ramsmp_fl-point_reading_2048kb_block,680.64,False,218.01,-3.1220586211641668
issdm-6,with,ramsmp_fl-point_reading_4096kb_block,681.38,False,219.16,-3.1090527468516154
issdm-6,with,ramsmp_fl-point_reading_8192kb_block,681.75,False,220.23,-3.0956272987331426
issdm-6,with,ramsmp_fl-point_reading_16384kb_block,681.81,False,220.8,-3.0879076086956516
issdm-6,with,ramsmp_fl-point_reading_32768kb_block,682.03,False,221.35,-3.0812288231307883
issdm-6,with,ramsmp_fl-point_copy,1308.71,False,178.4,-7.335818385650224
issdm-6,with,ramsmp_fl-point_scale,94.24,False,177.3,1.8813667232597626
issdm-6,with,ramsmp_fl-point_add,133.08,False,185.53,1.3941238352870453
issdm-6,with,ramsmp_fl-point_triad,70.92,False,182.12,2.5679639029892836
t2.micro,with,ramsmp_integer_writing_1kb_block,6739.58,False,5801.88,-1.1616200266120635
t2.micro,with,ramsmp_integer_writing_2kb_block,6258.44,False,5400.99,-1.1587579314162773
t2.micro,with,ramsmp_integer_writing_4kb_block,6372.48,False,5662.7,-1.1253430342416162
t2.micro,with,ramsmp_integer_writing_8kb_block,6354.7,False,5665.93,-1.1215634503073635
t2.micro,with,ramsmp_integer_writing_16kb_block,6380.7,False,5394.63,-1.1827873273978011
t2.micro,with,ramsmp_integer_writing_32kb_block,6397.46,False,5390.83,-1.1867300582656104
t2.micro,with,ramsmp_integer_writing_64kb_block,6401.04,False,4994.43,-1.2816357422168294
t2.micro,with,ramsmp_integer_writing_128kb_block,6340.53,False,4793.08,-1.3228508599898186
t2.micro,with,ramsmp_integer_writing_256kb_block,6284.87,False,4748.69,-1.3234955324521078
t2.micro,with,ramsmp_integer_writing_512kb_block,6201.42,False,4128.31,-1.5021691684975207
t2.micro,with,ramsmp_integer_writing_1024kb_block,5364.05,False,4275.47,-1.2546106042142735
t2.micro,with,ramsmp_integer_writing_2048kb_block,5071.37,False,4280.47,-1.1847694295252622
t2.micro,with,ramsmp_integer_writing_4096kb_block,5070.03,False,4115.36,-1.2319772753780958
t2.micro,with,ramsmp_integer_writing_8192kb_block,5041.1,False,4074.45,-1.2372467449594424
t2.micro,with,ramsmp_integer_writing_16384kb_block,5062.62,False,3198.71,-1.5827067786701514
t2.micro,with,ramsmp_integer_writing_32768kb_block,5050.68,False,1649.66,-3.0616490670804892
t2.micro,with,ramsmp_integer_reading_1kb_block,2022.82,False,12962.32,6.408044215501132
t2.micro,with,ramsmp_integer_reading_2kb_block,2030.85,False,10825.02,5.330290272545978
t2.micro,with,ramsmp_integer_reading_4kb_block,2034.96,False,10751.22,5.283258638990446
t2.micro,with,ramsmp_integer_reading_8kb_block,2032.86,False,10822.74,5.32389835010773
